metric,PVI,pvi_range,Wave,bin_prob,prob_GOP_all,logit_all
0.23,D+27,D+26+,Republican,0,0,0
0.24,D+26,D+26+,Republican,0,0,0
0.25,D+25,D+25 to D+8,Republican,0.005076142,0,0.0001
0.26,D+24,D+25 to D+8,Republican,0.005076142,0,0.0001
0.27,D+23,D+25 to D+8,Republican,0.005076142,0,0.0001
0.28,D+22,D+25 to D+8,Republican,0.005076142,0,0.0002
0.29,D+21,D+25 to D+8,Republican,0.005076142,0,0.0003
0.3,D+20,D+25 to D+8,Republican,0.005076142,0,0.0005
0.31,D+19,D+25 to D+8,Republican,0.005076142,0,0.0007
0.32,D+18,D+25 to D+8,Republican,0.005076142,0,0.001
0.33,D+17,D+25 to D+8,Republican,0.005076142,0,0.0016
0.34,D+16,D+25 to D+8,Republican,0.005076142,0,0.0023
0.35,D+15,D+25 to D+8,Republican,0.005076142,0,0.0035
0.36,D+14,D+25 to D+8,Republican,0.005076142,0,0.0052
0.37,D+13,D+25 to D+8,Republican,0.005076142,0,0.0077
0.38,D+12,D+25 to D+8,Republican,0.005076142,0,0.0115
0.39,D+11,D+25 to D+8,Republican,0.005076142,0,0.0172
0.4,D+10,D+25 to D+8,Republican,0.005076142,0,0.0254
0.41,D+9,D+25 to D+8,Republican,0.005076142,0,0.0376
0.42,D+8,D+25 to D+8,Republican,0.005076142,0.041666667,0.0552
0.43,D+7,D+7 to D+5,Republican,0.034482759,0,0.0804
0.44,D+6,D+7 to D+5,Republican,0.034482759,0.066666667,0.1156
0.45,D+5,D+7 to D+5,Republican,0.034482759,0.12,0.1635
0.46,D+4,D+4,Republican,0.176470588,0.176470588,0.2263
0.47,D+3,D+3,Republican,0.411764706,0.411764706,0.3044
0.48,D+2,D+2,Republican,0.416666667,0.416666667,0.3956
0.49,D+1,D+1,Republican,0.615384615,0.615384615,0.4947
0.5,EVEN,EVEN,Republican,0.666666667,0.666666667,0.5942
0.51,R+1,R+1,Republican,0.681818182,0.681818182,0.6866
0.52,R+2,R+2,Republican,0.928571429,0.928571429,0.7662
0.53,R+3,R+3,Republican,0.95,0.95,0.8305
0.54,R+4,R+4,Republican,0.863636364,0.863636364,0.88
0.55,R+5,R+5 to R+7,Republican,0.887640449,0.92,0.9164
0.56,R+6,R+5 to R+7,Republican,0.887640449,0.833333333,0.9425
0.57,R+7,R+5 to R+7,Republican,0.887640449,0.954545455,0.9608
0.58,R+8,R+8 to R+20,Republican,0.988142292,1,0.9735
0.59,R+9,R+8 to R+20,Republican,0.988142292,0.964285714,0.9821
0.6,R+10,R+8 to R+20,Republican,0.988142292,1,0.988
0.61,R+11,R+8 to R+20,Republican,0.988142292,1,0.9919
0.62,R+12,R+8 to R+20,Republican,0.988142292,1,0.9946
0.63,R+13,R+8 to R+20,Republican,0.988142292,1,0.9964
0.64,R+14,R+8 to R+20,Republican,0.988142292,0.964285714,0.9976
0.65,R+15,R+8 to R+20,Republican,0.988142292,0.95,0.9984
0.66,R+16,R+8 to R+20,Republican,0.988142292,1,0.9989
0.67,R+17,R+8 to R+20,Republican,0.988142292,1,0.9993
0.68,R+18,R+8 to R+20,Republican,0.988142292,1,0.9995
0.69,R+19,R+8 to R+20,Republican,0.988142292,1,0.9997
0.7,R+20,R+8 to R+20,Republican,0.988142292,1,0.9998
0.71,R+21,R+21+,Republican,1,1,0.9999
0.72,R+22,R+21+,Republican,1,1,0.9999
0.73,R+23,R+21+,Republican,1,1,0.9999
0.74,R+24,R+21+,Republican,1,1,1
0.75,R+25,R+21+,Republican,1,1,1
0.76,R+26,R+21+,Republican,1,1,1
0.77,R+27,R+21+,Republican,1,1,1
0.78,R+28,R+21+,Republican,1,1,1
0.79,R+29,R+21+,Republican,1,1,1
0.8,R+30,R+21+,Republican,1,1,1
0.81,R+31,R+21+,Republican,1,1,1
0.82,R+32,R+21+,Republican,1,1,1
0.83,R+33,R+21+,Republican,1,1,1
0.84,R+34,R+21+,Republican,1,1,1
0.85,R+35,R+21+,Republican,1,1,1
0.86,R+36,R+21+,Republican,1,1,1
0.87,R+37,R+21+,Republican,1,1,1
0.88,R+38,R+21+,Republican,1,1,1
0.89,R+39,R+21+,Republican,1,1,1
0.9,R+40,R+21+,Republican,1,1,1
0.91,R+41,R+21+,Republican,1,1,1
0.92,R+42,R+21+,Republican,1,1,1
0.93,R+43,R+21+,Republican,1,1,1
0.94,R+44,R+21+,Republican,1,1,1
0.06,D+44,D+26+,Democratic,0,0,0
0.07,D+43,D+26+,Democratic,0,0,0
0.08,D+42,D+26+,Democratic,0,0,0
0.09,D+41,D+26+,Democratic,0,0,0
0.1,D+40,D+26+,Democratic,0,0,0
0.11,D+39,D+26+,Democratic,0,0,0
0.12,D+38,D+26+,Democratic,0,0,0
0.13,D+37,D+26+,Democratic,0,0,0
0.14,D+36,D+26+,Democratic,0,0,0
0.15,D+35,D+26+,Democratic,0,0,0.0001
0.16,D+34,D+26+,Democratic,0,0,0.0001
0.17,D+33,D+26+,Democratic,0,0,0.0001
0.18,D+32,D+26+,Democratic,0,0,0.0001
0.19,D+31,D+26+,Democratic,0,0,0.0001
0.2,D+30,D+26+,Democratic,0,0,0.0002
0.21,D+29,D+26+,Democratic,0,0,0.0002
0.22,D+28,D+26+,Democratic,0,0,0.0003
0.23,D+27,D+26+,Democratic,0,0,0.0004
0.24,D+26,D+26+,Democratic,0,0,0.0005
0.25,D+25,D+25 to D+8,Democratic,0.006756757,0.111111111,0.0007
0.26,D+24,D+25 to D+8,Democratic,0.006756757,0,0.0009
0.27,D+23,D+25 to D+8,Democratic,0.006756757,0,0.0011
0.28,D+22,D+25 to D+8,Democratic,0.006756757,0,0.0015
0.29,D+21,D+25 to D+8,Democratic,0.006756757,0,0.0019
0.3,D+20,D+25 to D+8,Democratic,0.006756757,0,0.0024
0.31,D+19,D+25 to D+8,Democratic,0.006756757,0,0.0032
0.32,D+18,D+25 to D+8,Democratic,0.006756757,0,0.0041
0.33,D+17,D+25 to D+8,Democratic,0.006756757,0,0.0053
0.34,D+16,D+25 to D+8,Democratic,0.006756757,0,0.0068
0.35,D+15,D+25 to D+8,Democratic,0.006756757,0,0.0088
0.36,D+14,D+25 to D+8,Democratic,0.006756757,0,0.0114
0.37,D+13,D+25 to D+8,Democratic,0.006756757,0,0.0146
0.38,D+12,D+25 to D+8,Democratic,0.006756757,0,0.0188
0.39,D+11,D+25 to D+8,Democratic,0.006756757,0.052631579,0.0242
0.4,D+10,D+25 to D+8,Democratic,0.006756757,0,0.0311
0.41,D+9,D+25 to D+8,Democratic,0.006756757,0,0.0399
0.42,D+8,D+25 to D+8,Democratic,0.006756757,0,0.051
0.43,D+7,D+7 to D+5,Democratic,0.051724138,0.074074074,0.065
0.44,D+6,D+7 to D+5,Democratic,0.051724138,0.032258065,0.0825
0.45,D+5,D+7 to D+5,Democratic,0.051724138,0.04,0.1042
0.46,D+4,D+4,Democratic,0.157894737,0.157894737,0.1307
0.47,D+3,D+3,Democratic,0.153846154,0.153846154,0.1628
0.48,D+2,D+2,Democratic,0.24,0.24,0.201
0.49,D+1,D+1,Democratic,0.227272727,0.227272727,0.2455
0.5,EVEN,EVEN,Democratic,0.275862069,0.275862069,0.2962
0.51,R+1,R+1,Democratic,0.424242424,0.424242424,0.3524
0.52,R+2,R+2,Democratic,0.363636364,0.363636364,0.4131
0.53,R+3,R+3,Democratic,0.527777778,0.527777778,0.4766
0.54,R+4,R+4,Democratic,0.621621622,0.621621622,0.5408
0.55,R+5,R+5 to R+7,Democratic,0.65625,0.65,0.6036
0.56,R+6,R+5 to R+7,Democratic,0.65625,0.634615385,0.6633
0.57,R+7,R+5 to R+7,Democratic,0.65625,0.694444444,0.7181
0.58,R+8,R+8 to R+20,Democratic,0.901333333,0.8125,0.7672
0.59,R+9,R+8 to R+20,Democratic,0.901333333,0.916666667,0.8099
0.6,R+10,R+8 to R+20,Democratic,0.901333333,0.823529412,0.8464
0.61,R+11,R+8 to R+20,Democratic,0.901333333,0.9375,0.877
0.62,R+12,R+8 to R+20,Democratic,0.901333333,0.92,0.9022
0.63,R+13,R+8 to R+20,Democratic,0.901333333,0.880952381,0.9226
0.64,R+14,R+8 to R+20,Democratic,0.901333333,0.909090909,0.9391
0.65,R+15,R+8 to R+20,Democratic,0.901333333,0.933333333,0.9523
0.66,R+16,R+8 to R+20,Democratic,0.901333333,0.923076923,0.9627
0.67,R+17,R+8 to R+20,Democratic,0.901333333,0.96,0.9709
0.68,R+18,R+8 to R+20,Democratic,0.901333333,0.9,0.9774
0.69,R+19,R+8 to R+20,Democratic,0.901333333,1,0.9824
0.7,R+20,R+8 to R+20,Democratic,0.901333333,0.846153846,0.9863
0.71,R+21,R+21+,Democratic,1,1,0.9894
0.72,R+22,R+21+,Democratic,1,1,0.9918
0.73,R+23,R+21+,Democratic,1,1,0.9936
0.74,R+24,R+21+,Democratic,1,1,0.9951
0.75,R+25,R+21+,Democratic,1,1,0.9962
0.76,R+26,R+21+,Democratic,1,1,0.997
0.77,R+27,R+21+,Democratic,1,1,0.9977
0.78,R+28,R+21+,Democratic,1,1,0.9982
0.79,R+29,R+21+,Democratic,1,1,0.9986
0.8,R+30,R+21+,Democratic,1,1,0.9989
0.81,R+31,R+21+,Democratic,1,1,0.9992
