metric,pvi_range,prob_GOP_bin,prob_GOP_all,logit_all,logit_red,logit_blue
0.83,R+21+,1.0,1.0,1.0,1.0,1.0
0.84,R+21+,1.0,1.0,1.0,1.0,1.0
0.85,R+21+,1.0,1.0,1.0,1.0,1.0
0.86,R+21+,1.0,1.0,1.0,1.0,1.0
0.87,R+21+,1.0,1.0,1.0,1.0,1.0
0.88,R+21+,1.0,1.0,1.0,1.0,1.0
0.89,R+21+,1.0,1.0,1.0,1.0,1.0
0.9,R+21+,1.0,1.0,1.0,1.0,1.0
0.91,R+21+,1.0,1.0,1.0,1.0,1.0
0.92,R+21+,1.0,1.0,1.0,1.0,1.0
0.93,R+21+,1.0,1.0,1.0,1.0,1.0
0.94,R+21+,1.0,1.0,1.0,1.0,1.0
