metric,pvi_range,Wave,Prob,Metric Type
0.56,R+5 to R+7,Red,0.9425,Logit
0.57,R+5 to R+7,Red,0.9608,Logit
0.58,R+8 to R+20,Red,0.9735,Logit
0.59,R+8 to R+20,Red,0.9821,Logit
0.6,R+8 to R+20,Red,0.988,Logit
0.61,R+8 to R+20,Red,0.9919,Logit
0.62,R+8 to R+20,Red,0.9946,Logit
0.63,R+8 to R+20,Red,0.9964,Logit
0.64,R+8 to R+20,Red,0.9976,Logit
0.65,R+8 to R+20,Red,0.9984,Logit
0.66,R+8 to R+20,Red,0.9989,Logit
0.67,R+8 to R+20,Red,0.9993,Logit
0.68,R+8 to R+20,Red,0.9995,Logit
0.69,R+8 to R+20,Red,0.9997,Logit
0.7,R+8 to R+20,Red,0.9998,Logit
0.71,R+21+,Red,0.9999,Logit
0.72,R+21+,Red,0.9999,Logit
0.73,R+21+,Red,0.9999,Logit
0.74,R+21+,Red,1,Logit
0.75,R+21+,Red,1,Logit
0.76,R+21+,Red,1,Logit
0.77,R+21+,Red,1,Logit
0.78,R+21+,Red,1,Logit
0.79,R+21+,Red,1,Logit
0.8,R+21+,Red,1,Logit
0.81,R+21+,Red,1,Logit
0.82,R+21+,Red,1,Logit
0.83,R+21+,Red,1,Logit
0.84,R+21+,Red,1,Logit
0.85,R+21+,Red,1,Logit
0.86,R+21+,Red,1,Logit
0.87,R+21+,Red,1,Logit
0.88,R+21+,Red,1,Logit
0.89,R+21+,Red,1,Logit
0.9,R+21+,Red,1,Logit
0.91,R+21+,Red,1,Logit
0.92,R+21+,Red,1,Logit
0.93,R+21+,Red,1,Logit
0.94,R+21+,Red,1,Logit
0.06,D+26+,Blue,0,Logit
0.07,D+26+,Blue,0,Logit
0.08,D+26+,Blue,0,Logit
0.09,D+26+,Blue,0,Logit
0.1,D+26+,Blue,0,Logit
0.11,D+26+,Blue,0,Logit
0.12,D+26+,Blue,0,Logit
0.13,D+26+,Blue,0,Logit
0.14,D+26+,Blue,0,Logit
0.15,D+26+,Blue,0.0001,Logit
0.16,D+26+,Blue,0.0001,Logit
0.17,D+26+,Blue,0.0001,Logit
0.18,D+26+,Blue,0.0001,Logit
0.19,D+26+,Blue,0.0001,Logit
0.2,D+26+,Blue,0.0002,Logit
0.21,D+26+,Blue,0.0002,Logit
0.22,D+26+,Blue,0.0003,Logit
0.23,D+26+,Blue,0.0004,Logit
0.24,D+26+,Blue,0.0005,Logit
0.25,D+25 to D+8,Blue,0.0007,Logit
0.26,D+25 to D+8,Blue,0.0009,Logit
0.27,D+25 to D+8,Blue,0.0011,Logit
0.28,D+25 to D+8,Blue,0.0015,Logit
0.29,D+25 to D+8,Blue,0.0019,Logit
0.3,D+25 to D+8,Blue,0.0024,Logit
0.31,D+25 to D+8,Blue,0.0032,Logit
0.32,D+25 to D+8,Blue,0.0041,Logit
0.33,D+25 to D+8,Blue,0.0053,Logit
0.34,D+25 to D+8,Blue,0.0068,Logit
0.35,D+25 to D+8,Blue,0.0088,Logit
0.36,D+25 to D+8,Blue,0.0114,Logit
0.37,D+25 to D+8,Blue,0.0146,Logit
0.38,D+25 to D+8,Blue,0.0188,Logit
0.39,D+25 to D+8,Blue,0.0242,Logit
0.4,D+25 to D+8,Blue,0.0311,Logit
0.41,D+25 to D+8,Blue,0.0399,Logit
0.42,D+25 to D+8,Blue,0.051,Logit
0.43,D+7 to D+5,Blue,0.065,Logit
0.44,D+7 to D+5,Blue,0.0825,Logit
0.45,D+7 to D+5,Blue,0.1042,Logit
0.46,D+4,Blue,0.1307,Logit
0.47,D+3,Blue,0.1628,Logit
0.48,D+2,Blue,0.201,Logit
0.49,D+1,Blue,0.2455,Logit
0.5,EVEN,Blue,0.2962,Logit
0.51,R+1,Blue,0.3524,Logit
0.52,R+2,Blue,0.4131,Logit
0.53,R+3,Blue,0.4766,Logit
0.54,R+4,Blue,0.5408,Logit
0.55,R+5 to R+7,Blue,0.6036,Logit
0.56,R+5 to R+7,Blue,0.6633,Logit
0.57,R+5 to R+7,Blue,0.7181,Logit
0.58,R+8 to R+20,Blue,0.7672,Logit
0.59,R+8 to R+20,Blue,0.8099,Logit
0.6,R+8 to R+20,Blue,0.8464,Logit
0.61,R+8 to R+20,Blue,0.877,Logit
0.62,R+8 to R+20,Blue,0.9022,Logit
0.63,R+8 to R+20,Blue,0.9226,Logit
0.64,R+8 to R+20,Blue,0.9391,Logit
0.65,R+8 to R+20,Blue,0.9523,Logit
0.66,R+8 to R+20,Blue,0.9627,Logit
0.67,R+8 to R+20,Blue,0.9709,Logit
0.68,R+8 to R+20,Blue,0.9774,Logit
0.69,R+8 to R+20,Blue,0.9824,Logit
0.7,R+8 to R+20,Blue,0.9863,Logit
0.71,R+21+,Blue,0.9894,Logit
0.72,R+21+,Blue,0.9918,Logit
0.73,R+21+,Blue,0.9936,Logit
0.74,R+21+,Blue,0.9951,Logit
0.75,R+21+,Blue,0.9962,Logit
0.76,R+21+,Blue,0.997,Logit
0.77,R+21+,Blue,0.9977,Logit
0.78,R+21+,Blue,0.9982,Logit
0.79,R+21+,Blue,0.9986,Logit
0.8,R+21+,Blue,0.9989,Logit
0.81,R+21+,Blue,0.9992,Logit
0.82,R+21+,Blue,0.9994,Logit
0.83,R+21+,Blue,0.9995,Logit
0.84,R+21+,Blue,0.9996,Logit
0.85,R+21+,Blue,0.9997,Logit
0.86,R+21+,Blue,0.9998,Logit
0.87,R+21+,Blue,0.9998,Logit
0.88,R+21+,Blue,0.9999,Logit
0.89,R+21+,Blue,0.9999,Logit
0.9,R+21+,Blue,0.9999,Logit
0.91,R+21+,Blue,0.9999,Logit
0.92,R+21+,Blue,1,Logit
0.93,R+21+,Blue,1,Logit
0.94,R+21+,Blue,1,Logit
