State,District,PVI,"Party of
Representative"
Ohio,8th,R+14,Republican
Ohio,9th,D+10,Democratic
Ohio,10th,D+8,Democratic
Ohio,11th,D+32,Democratic
Ohio,12th,D+1,Republican
Ohio,13th,D+5,Democratic
Ohio,14th,R+3,Republican
Ohio,15th,D+1,Democratic
Ohio,16th,R+4,Democratic
Ohio,17th,D+12,Democratic
Ohio,18th,R+7,Democratic
Oklahoma,1st,R+16,Republican
Oklahoma,2nd,R+14,Democratic
Oklahoma,3rd,R+24,Republican
Oklahoma,4th,R+18,Republican
Oklahoma,5th,R+13,Republican
Oregon,1st,D+8,Democratic
Oregon,2nd,R+10,Republican
Oregon,3rd,D+19,Democratic
Oregon,4th,D+2,Democratic
Oregon,5th,D+1,Democratic
Pennsylvania,1st,D+35,Democratic
Pennsylvania,2nd,D+38,Democratic
Pennsylvania,3rd,R+3,Democratic
Pennsylvania,4th,R+6,Democratic
Pennsylvania,5th,R+9,Republican
Pennsylvania,6th,D+4,Republican
Pennsylvania,7th,D+3,Democratic
Pennsylvania,8th,D+2,Democratic
Pennsylvania,9th,R+17,Republican
Pennsylvania,10th,R+8,Democratic
Pennsylvania,11th,D+4,Democratic
Pennsylvania,12th,R+1,Democratic
Pennsylvania,13th,D+7,Democratic
Pennsylvania,14th,D+19,Democratic
Pennsylvania,15th,D+2,Republican
Pennsylvania,16th,R+8,Republican
Pennsylvania,17th,R+6,Democratic
Pennsylvania,18th,R+6,Republican
Pennsylvania,19th,R+12,Republican
Rhode Island,1st,D+13,Democratic
Rhode Island,2nd,D+9,Democratic
South Carolina,1st,R+10,Republican
South Carolina,2nd,R+9,Republican
South Carolina,3rd,R+17,Republican
South Carolina,4th,R+15,Republican
South Carolina,5th,R+7,Democratic
South Carolina,6th,D+12,Democratic
South Dakota,At-large,R+9,Democratic
Tennessee,1st,R+21,Republican
Tennessee,2nd,R+16,Republican
Tennessee,3rd,R+13,Republican
Tennessee,4th,R+13,Democratic
Tennessee,5th,D+3,Democratic
Tennessee,6th,R+13,Democratic
Tennessee,7th,R+18,Republican
Tennessee,8th,R+6,Democratic
Tennessee,9th,D+23,Democratic
Texas,1st,R+21,Republican
Texas,2nd,R+13,Republican
Texas,3rd,R+14,Republican
Texas,4th,R+21,Republican
Texas,5th,R+17,Republican
Texas,6th,R+15,Republican
Texas,7th,R+13,Republican
Texas,8th,R+25,Republican
Texas,9th,D+22,Democratic
Texas,10th,R+10,Republican
Texas,11th,R+28,Republican
Texas,12th,R+16,Republican
Texas,13th,R+29,Republican
Texas,14th,R+18,Republican
Texas,15th,D+3,Democratic
Texas,16th,D+10,Democratic
Texas,17th,R+20,Democratic
Texas,18th,D+24,Democratic
Texas,19th,R+26,Republican
Texas,20th,D+8,Democratic
Texas,21st,R+14,Republican
Texas,22nd,R+13,Republican
Texas,23rd,R+4,Democratic
Texas,24th,R+11,Republican
Texas,25th,D+6,Democratic
Texas,26th,R+13,Republican
Texas,27th,R+2,Democratic
Texas,28th,EVEN,Democratic
Texas,29th,D+8,Democratic
Texas,30th,D+27,Democratic
Texas,31st,R+14,Republican
Texas,32nd,R+8,Republican
Utah,1st,R+21,Republican
Utah,2nd,R+15,Democratic
Utah,3rd,R+26,Republican
Vermont,At-large,D+13,Democratic
Virginia,1st,R+7,Republican
Virginia,2nd,R+5,Democratic
Virginia,3rd,D+20,Democratic
Virginia,4th,R+4,Republican
Virginia,5th,R+5,Democratic
Virginia,6th,R+12,Republican
Virginia,7th,R+9,Republican
Virginia,8th,D+16,Democratic
Virginia,9th,R+11,Democratic
Virginia,10th,R+2,Republican
Virginia,11th,D+2,Democratic
Washington,1st,D+9,Democratic
Washington,2nd,D+3,Democratic
Washington,3rd,EVEN,Democratic
Washington,4th,R+13,Republican
Washington,5th,R+7,Republican
Washington,6th,D+5,Democratic
Washington,7th,D+31,Democratic
Washington,8th,D+3,Republican
Washington,9th,D+5,Democratic
West Virginia,1st,R+9,Democratic
West Virginia,2nd,R+8,Republican
West Virginia,3rd,R+6,Democratic
Wisconsin,1st,R+2,Republican
Wisconsin,2nd,D+15,Democratic
Wisconsin,3rd,D+4,Democratic
Wisconsin,4th,D+22,Democratic
Wisconsin,5th,R+12,Republican
Wisconsin,6th,R+4,Republican
Wisconsin,7th,D+3,Democratic
Wisconsin,8th,R+2,Democratic
Wyoming,At-large,R+20,Republican
