ST#,PVI,metric,year,congress
PA17,R+7,0.535,2004,109
PA18,R+2,0.51,2004,109
PA19,R+12,0.56,2004,109
RI1,D+16,0.42,2004,109
RI2,D+13,0.435,2004,109
SC1,R+10,0.55,2004,109
SC2,R+9,0.545,2004,109
SC3,R+14,0.57,2004,109
SC4,R+15,0.575,2004,109
SC5,R+6,0.53,2004,109
SC6,D+11,0.445,2004,109
SDAL,R+10,0.55,2004,109
TN1,R+14,0.57,2004,109
TN2,R+11,0.555,2004,109
TN3,R+8,0.54,2004,109
TN4,R+3,0.515,2004,109
TN5,D+6,0.47,2004,109
TN6,R+4,0.52,2004,109
TN7,R+12,0.56,2004,109
TN8,D+0,0.5,2004,109
TN9,D+18,0.41,2004,109
TX1,R+17,0.585,2004,109
TX2,R+12,0.56,2004,109
TX3,R+17,0.585,2004,109
TX4,R+17,0.585,2004,109
TX5,R+16,0.58,2004,109
TX6,R+15,0.575,2004,109
TX7,R+16,0.58,2004,109
TX8,R+20,0.6,2004,109
TX9,D+21,0.395,2004,109
TX10,R+13,0.565,2004,109
TX11,R+25,0.625,2004,109
TX12,R+14,0.57,2004,109
TX13,R+18,0.59,2004,109
TX14,R+14,0.57,2004,109
TX15,D+3,0.485,2004,109
TX16,D+9,0.455,2004,109
TX17,R+18,0.59,2004,109
TX18,D+23,0.385,2004,109
TX19,R+25,0.625,2004,109
TX20,D+8,0.46,2004,109
TX21,R+13,0.565,2004,109
TX22,R+15,0.575,2004,109
TX23,R+4,0.52,2004,109
TX24,R+15,0.575,2004,109
TX25,D+1,0.495,2004,109
TX26,R+12,0.56,2004,109
TX27,R+1,0.505,2004,109
TX28,R+1,0.505,2004,109
TX29,D+8,0.46,2004,109
TX30,D+26,0.37,2004,109
TX31,R+15,0.575,2004,109
TX32,R+11,0.555,2004,109
UT1,R+26,0.63,2004,109
UT2,R+17,0.585,2004,109
UT3,R+22,0.61,2004,109
VTAL,D+8,0.46,2004,109
VA1,R+9,0.545,2004,109
VA2,R+6,0.53,2004,109
VA3,D+18,0.41,2004,109
VA4,R+5,0.525,2004,109
VA5,R+6,0.53,2004,109
VA6,R+11,0.555,2004,109
VA7,R+11,0.555,2004,109
VA8,D+14,0.43,2004,109
VA9,R+7,0.535,2004,109
VA10,R+5,0.525,2004,109
VA11,R+1,0.505,2004,109
WA1,D+7,0.465,2004,109
WA2,D+3,0.485,2004,109
WA3,D+0,0.5,2004,109
WA4,R+13,0.565,2004,109
WA5,R+7,0.535,2004,109
WA6,D+6,0.47,2004,109
WA7,D+30,0.35,2004,109
WA8,D+2,0.49,2004,109
WA9,D+6,0.47,2004,109
WV1,R+6,0.53,2004,109
WV2,R+5,0.525,2004,109
WV3,D+0,0.5,2004,109
WI1,R+2,0.51,2004,109
WI2,D+13,0.435,2004,109
WI3,D+3,0.485,2004,109
WI4,D+20,0.4,2004,109
WI5,R+12,0.56,2004,109
WI6,R+5,0.525,2004,109
WI7,D+2,0.49,2004,109
WI8,D+0,0.5,2004,109
WYAL,R+19,0.595,2004,109
