state,map,district,metric,value,map_approved
AL,plaintiffs_plan_a,07,vap_race_black,50.3,False
AL,plaintiffs_plan_a,07,vap_race_hispanic,4.18,False
AL,plaintiffs_plan_a,07,vap_race_asian,0.85,False
AL,plaintiffs_plan_a,07,vap_race_other,2.59,False
AL,plaintiffs_plan_a,statewide,efficiency_gap,3.83552625726156,False
AL,plaintiffs_plan_a,statewide,median,-10.0837779002553,False
AL,plaintiffs_plan_b,01,competitive,0.0,False
AL,plaintiffs_plan_b,01,pvi,-54.7080000012743,False
AL,plaintiffs_plan_b,01,vap_race_white,75.2,False
AL,plaintiffs_plan_b,01,vap_race_black,14.85,False
AL,plaintiffs_plan_b,01,vap_race_hispanic,3.99,False
AL,plaintiffs_plan_b,01,vap_race_asian,1.5,False
AL,plaintiffs_plan_b,01,vap_race_other,4.46,False
AL,plaintiffs_plan_b,02,competitive,0.0,False
AL,plaintiffs_plan_b,02,pvi,10.6816782845844,False
AL,plaintiffs_plan_b,02,vap_race_white,42.6,False
AL,plaintiffs_plan_b,02,vap_race_black,49.72,False
AL,plaintiffs_plan_b,02,vap_race_hispanic,2.6,False
AL,plaintiffs_plan_b,02,vap_race_asian,1.72,False
AL,plaintiffs_plan_b,02,vap_race_other,3.36,False
AL,plaintiffs_plan_b,03,competitive,0.0,False
AL,plaintiffs_plan_b,03,pvi,-40.3657729081457,False
AL,plaintiffs_plan_b,03,vap_race_white,68.47,False
AL,plaintiffs_plan_b,03,vap_race_black,21.38,False
AL,plaintiffs_plan_b,03,vap_race_hispanic,4.59,False
AL,plaintiffs_plan_b,03,vap_race_asian,2.08,False
AL,plaintiffs_plan_b,03,vap_race_other,3.49,False
AL,plaintiffs_plan_b,04,competitive,0.0,False
AL,plaintiffs_plan_b,04,pvi,-57.2446134147497,False
AL,plaintiffs_plan_b,04,vap_race_white,80.12,False
AL,plaintiffs_plan_b,04,vap_race_black,10.18,False
AL,plaintiffs_plan_b,04,vap_race_hispanic,4.68,False
AL,plaintiffs_plan_b,04,vap_race_asian,0.82,False
AL,plaintiffs_plan_b,04,vap_race_other,4.2,False
AL,plaintiffs_plan_b,05,competitive,0.0,False
AL,plaintiffs_plan_b,05,pvi,-38.0976655022893,False
AL,plaintiffs_plan_b,05,vap_race_white,72.56,False
AL,plaintiffs_plan_b,05,vap_race_black,14.61,False
AL,plaintiffs_plan_b,05,vap_race_hispanic,6.23,False
AL,plaintiffs_plan_b,05,vap_race_asian,1.63,False
AL,plaintiffs_plan_b,05,vap_race_other,4.98,False
AL,plaintiffs_plan_b,06,competitive,0.0,False
AL,plaintiffs_plan_b,06,pvi,-47.2646895907885,False
AL,plaintiffs_plan_b,06,vap_race_white,76.73,False
AL,plaintiffs_plan_b,06,vap_race_black,14.6,False
AL,plaintiffs_plan_b,06,vap_race_hispanic,3.46,False
AL,plaintiffs_plan_b,06,vap_race_asian,1.73,False
AL,plaintiffs_plan_b,06,vap_race_other,3.49,False
AL,plaintiffs_plan_b,07,competitive,0.0,False
AL,plaintiffs_plan_b,07,pvi,19.9881582015136,False
AL,plaintiffs_plan_b,07,vap_race_white,42.71,False
AL,plaintiffs_plan_b,07,vap_race_black,49.08,False
AL,plaintiffs_plan_b,07,vap_race_hispanic,4.29,False
AL,plaintiffs_plan_b,07,vap_race_asian,1.25,False
AL,plaintiffs_plan_b,07,vap_race_other,2.66,False
AL,plaintiffs_plan_b,statewide,efficiency_gap,3.80043226864531,False
AL,plaintiffs_plan_b,statewide,median,-10.7713929081457,False
AL,plaintiffs_plan_c,01,competitive,0.0,False
AL,plaintiffs_plan_c,01,pvi,-54.7473422716928,False
AL,plaintiffs_plan_c,01,vap_race_white,75.2,False
AL,plaintiffs_plan_c,01,vap_race_black,14.85,False
AL,plaintiffs_plan_c,01,vap_race_hispanic,3.99,False
AL,plaintiffs_plan_c,01,vap_race_asian,1.5,False
AL,plaintiffs_plan_c,01,vap_race_other,4.46,False
AL,plaintiffs_plan_c,02,competitive,0.0,False
AL,plaintiffs_plan_c,02,pvi,10.5929175737117,False
AL,plaintiffs_plan_c,02,vap_race_white,43.14,False
AL,plaintiffs_plan_c,02,vap_race_black,48.67,False
AL,plaintiffs_plan_c,02,vap_race_hispanic,2.93,False
AL,plaintiffs_plan_c,02,vap_race_asian,1.77,False
AL,plaintiffs_plan_c,02,vap_race_other,3.49,False
AL,plaintiffs_plan_c,03,competitive,0.0,False
AL,plaintiffs_plan_c,03,pvi,-44.3996803315309,False
AL,plaintiffs_plan_c,03,vap_race_white,70.99,False
AL,plaintiffs_plan_c,03,vap_race_black,18.84,False
AL,plaintiffs_plan_c,03,vap_race_hispanic,4.46,False
AL,plaintiffs_plan_c,03,vap_race_asian,2.25,False
AL,plaintiffs_plan_c,03,vap_race_other,3.46,False
AL,plaintiffs_plan_c,04,competitive,0.0,False
AL,plaintiffs_plan_c,04,pvi,-56.9356275905827,False
AL,plaintiffs_plan_c,04,vap_race_white,79.98,False
AL,plaintiffs_plan_c,04,vap_race_black,10.34,False
AL,plaintiffs_plan_c,04,vap_race_hispanic,4.7,False
AL,plaintiffs_plan_c,04,vap_race_asian,0.82,False
AL,plaintiffs_plan_c,04,vap_race_other,4.16,False
AL,plaintiffs_plan_c,05,competitive,0.0,False
AL,plaintiffs_plan_c,05,pvi,-38.1370077727078,False
AL,plaintiffs_plan_c,05,vap_race_white,72.56,False
AL,plaintiffs_plan_c,05,vap_race_black,14.61,False
AL,plaintiffs_plan_c,05,vap_race_hispanic,6.23,False
AL,plaintiffs_plan_c,05,vap_race_asian,1.63,False
AL,plaintiffs_plan_c,05,vap_race_other,4.98,False
AL,plaintiffs_plan_c,06,competitive,0.0,False
AL,plaintiffs_plan_c,06,pvi,-46.8119551382385,False
AL,plaintiffs_plan_c,06,vap_race_white,76.49,False
AL,plaintiffs_plan_c,06,vap_race_black,14.8,False
AL,plaintiffs_plan_c,06,vap_race_hispanic,3.51,False
