year,congress,ST,ST#,seat,is_GOP,PVI,metric
2018,116,AL,AL1,R,1,R+15,0.575
2018,116,AL,AL2,R,1,R+16,0.58
2018,116,AL,AL3,R,1,R+16,0.58
2018,116,AL,AL4,R,1,R+30,0.65
2018,116,AL,AL5,R,1,R+18,0.59
2018,116,AL,AL6,R,1,R+26,0.63
2018,116,AL,AL7,D,0,D+20,0.4
2018,116,AK,AKAL,R,1,R+9,0.545
2018,116,AZ,AZ1,D,0,R+2,0.51
2018,116,AZ,AZ2,D,0,R+1,0.505
2018,116,AZ,AZ3,D,0,D+13,0.435
2018,116,AZ,AZ4,R,1,R+21,0.605
2018,116,AZ,AZ5,R,1,R+15,0.575
2018,116,AZ,AZ6,R,1,R+9,0.545
2018,116,AZ,AZ7,D,0,D+23,0.385
2018,116,AZ,AZ8,R,1,R+13,0.565
2018,116,AZ,AZ9,D,0,D+4,0.48
2018,116,AR,AR1,R,1,R+17,0.585
2018,116,AR,AR2,R,1,R+7,0.535
2018,116,AR,AR3,R,1,R+19,0.595
2018,116,AR,AR4,R,1,R+17,0.585
2018,116,CA,CA1,R,1,R+11,0.555
2018,116,CA,CA2,D,0,D+22,0.39
2018,116,CA,CA3,D,0,D+5,0.475
2018,116,CA,CA4,R,1,R+10,0.55
2018,116,CA,CA5,D,0,D+21,0.395
2018,116,CA,CA6,D,0,D+21,0.395
2018,116,CA,CA7,D,0,D+3,0.485
2018,116,CA,CA8,R,1,R+9,0.545
2018,116,CA,CA9,D,0,D+8,0.46
2018,116,CA,CA10,D,0,R+0,0.5
2018,116,CA,CA11,D,0,D+21,0.395
2018,116,CA,CA12,D,0,D+37,0.315
2018,116,CA,CA13,D,0,D+40,0.3
2018,116,CA,CA14,D,0,D+27,0.365
2018,116,CA,CA15,D,0,D+20,0.4
2018,116,CA,CA16,D,0,D+9,0.455
2018,116,CA,CA17,D,0,D+25,0.375
2018,116,CA,CA18,D,0,D+23,0.385
2018,116,CA,CA19,D,0,D+24,0.38
2018,116,CA,CA20,D,0,D+23,0.385
2018,116,CA,CA21,D,0,D+5,0.475
2018,116,CA,CA22,R,1,R+8,0.54
2018,116,CA,CA23,R,1,R+14,0.57
2018,116,CA,CA24,D,0,D+7,0.465
2018,116,CA,CA25,D,0,R+0,0.5
2018,116,CA,CA26,D,0,D+7,0.465
2018,116,CA,CA27,D,0,D+16,0.42
2018,116,CA,CA28,D,0,D+23,0.385
2018,116,CA,CA29,D,0,D+29,0.355
2018,116,CA,CA30,D,0,D+18,0.41
2018,116,CA,CA31,D,0,D+8,0.46
2018,116,CA,CA32,D,0,D+17,0.415
2018,116,CA,CA33,D,0,D+16,0.42
2018,116,CA,CA34,D,0,D+35,0.325
2018,116,CA,CA35,D,0,D+19,0.405
2018,116,CA,CA36,D,0,D+2,0.49
2018,116,CA,CA37,D,0,D+37,0.315
2018,116,CA,CA38,D,0,D+17,0.415
2018,116,CA,CA39,D,0,R+0,0.5
2018,116,CA,CA40,D,0,D+33,0.335
2018,116,CA,CA41,D,0,D+12,0.44
2018,116,CA,CA42,R,1,R+9,0.545
2018,116,CA,CA43,D,0,D+29,0.355
2018,116,CA,CA44,D,0,D+35,0.325
2018,116,CA,CA45,D,0,R+3,0.515
2018,116,CA,CA46,D,0,D+15,0.425
2018,116,CA,CA47,D,0,D+13,0.435
2018,116,CA,CA48,D,0,R+4,0.52
2018,116,CA,CA49,D,0,R+1,0.505
2018,116,CA,CA50,R,1,R+11,0.555
2018,116,CA,CA51,D,0,D+22,0.39
2018,116,CA,CA52,D,0,D+6,0.47
2018,116,CA,CA53,D,0,D+14,0.43
2018,116,CO,CO1,D,0,D+21,0.395
2018,116,CO,CO2,D,0,D+9,0.455
2018,116,CO,CO3,R,1,R+6,0.53
2018,116,CO,CO4,R,1,R+13,0.565
2018,116,CO,CO5,R,1,R+14,0.57
2018,116,CO,CO6,D,0,D+2,0.49
2018,116,CO,CO7,D,0,D+6,0.47
2018,116,CT,CT1,D,0,D+12,0.44
2018,116,CT,CT2,D,0,D+3,0.485
2018,116,CT,CT3,D,0,D+9,0.455
2018,116,CT,CT4,D,0,D+7,0.465
2018,116,CT,CT5,D,0,D+2,0.49
2018,116,DE,DEAL,D,0,D+6,0.47
2018,116,FL,FL1,R,1,R+22,0.61
2018,116,FL,FL2,R,1,R+18,0.59
2018,116,FL,FL3,R,1,R+9,0.545
2018,116,FL,FL4,R,1,R+17,0.585
2018,116,FL,FL5,D,0,D+12,0.44
2018,116,FL,FL6,R,1,R+7,0.535
2018,116,FL,FL7,D,0,R+0,0.5
2018,116,FL,FL8,R,1,R+11,0.555
2018,116,FL,FL9,D,0,D+5,0.475
2018,116,FL,FL10,D,0,D+11,0.445
2018,116,FL,FL11,R,1,R+15,0.575
2018,116,FL,FL12,R,1,R+8,0.54
2018,116,FL,FL13,D,0,D+2,0.49
2018,116,FL,FL14,D,0,D+7,0.465
2018,116,FL,FL15,R,1,R+6,0.53
2018,116,FL,FL16,R,1,R+7,0.535
2018,116,FL,FL17,R,1,R+13,0.565
2018,116,FL,FL18,R,1,R+5,0.525
2018,116,FL,FL19,R,1,R+13,0.565
2018,116,FL,FL20,D,0,D+31,0.345
2018,116,FL,FL21,D,0,D+9,0.455
2018,116,FL,FL22,D,0,D+6,0.47
2018,116,FL,FL23,D,0,D+11,0.445
2018,116,FL,FL24,D,0,D+34,0.33
2018,116,FL,FL25,R,1,R+4,0.52
2018,116,FL,FL26,D,0,D+6,0.47
2018,116,FL,FL27,D,0,D+5,0.475
2018,116,GA,GA1,R,1,R+9,0.545
2018,116,GA,GA2,D,0,D+6,0.47
2018,116,GA,GA3,R,1,R+18,0.59
2018,116,GA,GA4,D,0,D+24,0.38
2018,116,GA,GA5,D,0,D+34,0.33
2018,116,GA,GA6,D,0,R+8,0.54
2018,116,GA,GA7,R,1,R+9,0.545
2018,116,GA,GA8,R,1,R+15,0.575
2018,116,GA,GA9,R,1,R+31,0.655
2018,116,GA,GA10,R,1,R+15,0.575
2018,116,GA,GA11,R,1,R+17,0.585
2018,116,GA,GA12,R,1,R+9,0.545
2018,116,GA,GA13,D,0,D+20,0.4
2018,116,GA,GA14,R,1,R+27,0.635
2018,116,HI,HI1,D,0,D+17,0.415
