year,congress,ST,ST#,seat,is_GOP,PVI,metric
2012,113,AL,AL1,R,1,R+15,0.575
2012,113,AL,AL2,R,1,R+17,0.585
2012,113,AL,AL3,R,1,R+16,0.58
2012,113,AL,AL4,R,1,R+28,0.64
2012,113,AL,AL5,R,1,R+17,0.585
2012,113,AL,AL6,R,1,R+28,0.64
2012,113,AL,AL7,D,0,D+20,0.4
2012,113,AK,AKAL,R,1,R+12,0.56
2012,113,AZ,AZ1,D,0,R+4,0.52
2012,113,AZ,AZ2,D,0,R+3,0.515
2012,113,AZ,AZ3,D,0,D+8,0.46
2012,113,AZ,AZ4,R,1,R+20,0.6
2012,113,AZ,AZ5,R,1,R+17,0.585
2012,113,AZ,AZ6,R,1,R+12,0.56
2012,113,AZ,AZ7,D,0,D+16,0.42
2012,113,AZ,AZ8,R,1,R+15,0.575
2012,113,AZ,AZ9,D,0,R+1,0.505
2012,113,AR,AR1,R,1,R+14,0.57
2012,113,AR,AR2,R,1,R+8,0.54
2012,113,AR,AR3,R,1,R+19,0.595
2012,113,AR,AR4,R,1,R+15,0.575
2012,113,CA,CA1,R,1,R+10,0.55
2012,113,CA,CA2,D,0,D+20,0.4
2012,113,CA,CA3,D,0,D+3,0.485
2012,113,CA,CA4,R,1,R+10,0.55
2012,113,CA,CA5,D,0,D+19,0.405
2012,113,CA,CA6,D,0,D+18,0.41
2012,113,CA,CA7,D,0,R+0,0.5
2012,113,CA,CA8,R,1,R+10,0.55
2012,113,CA,CA9,D,0,D+6,0.47
2012,113,CA,CA10,R,1,R+1,0.505
2012,113,CA,CA11,D,0,D+17,0.415
2012,113,CA,CA12,D,0,D+34,0.33
2012,113,CA,CA13,D,0,D+37,0.315
2012,113,CA,CA14,D,0,D+23,0.385
2012,113,CA,CA15,D,0,D+16,0.42
2012,113,CA,CA16,D,0,D+7,0.465
2012,113,CA,CA17,D,0,D+20,0.4
2012,113,CA,CA18,D,0,D+18,0.41
2012,113,CA,CA19,D,0,D+19,0.405
2012,113,CA,CA20,D,0,D+21,0.395
2012,113,CA,CA21,R,1,D+2,0.49
2012,113,CA,CA22,R,1,R+10,0.55
2012,113,CA,CA23,R,1,R+16,0.58
2012,113,CA,CA24,D,0,D+4,0.48
2012,113,CA,CA25,R,1,R+3,0.515
2012,113,CA,CA26,D,0,D+4,0.48
2012,113,CA,CA27,D,0,D+11,0.445
2012,113,CA,CA28,D,0,D+20,0.4
2012,113,CA,CA29,D,0,D+25,0.375
2012,113,CA,CA30,D,0,D+14,0.43
2012,113,CA,CA31,R,1,D+5,0.475
2012,113,CA,CA32,D,0,D+12,0.44
2012,113,CA,CA33,D,0,D+11,0.445
2012,113,CA,CA34,D,0,D+30,0.35
2012,113,CA,CA35,D,0,D+15,0.425
2012,113,CA,CA36,D,0,R+1,0.505
2012,113,CA,CA37,D,0,D+34,0.33
2012,113,CA,CA38,D,0,D+12,0.44
2012,113,CA,CA39,R,1,R+5,0.525
2012,113,CA,CA40,D,0,D+29,0.355
2012,113,CA,CA41,D,0,D+9,0.455
2012,113,CA,CA42,R,1,R+10,0.55
2012,113,CA,CA43,D,0,D+26,0.37
2012,113,CA,CA44,D,0,D+32,0.34
2012,113,CA,CA45,R,1,R+7,0.535
2012,113,CA,CA46,D,0,D+9,0.455
2012,113,CA,CA47,D,0,D+8,0.46
2012,113,CA,CA48,R,1,R+7,0.535
2012,113,CA,CA49,R,1,R+4,0.52
2012,113,CA,CA50,R,1,R+14,0.57
2012,113,CA,CA51,D,0,D+16,0.42
2012,113,CA,CA52,D,0,D+2,0.49
2012,113,CA,CA53,D,0,D+10,0.45
2012,113,CO,CO1,D,0,D+18,0.41
2012,113,CO,CO2,D,0,D+8,0.46
2012,113,CO,CO3,R,1,R+5,0.525
2012,113,CO,CO4,R,1,R+11,0.555
2012,113,CO,CO5,R,1,R+13,0.565
2012,113,CO,CO6,R,1,D+1,0.495
2012,113,CO,CO7,D,0,D+5,0.475
2012,113,CT,CT1,D,0,D+13,0.435
2012,113,CT,CT2,D,0,D+5,0.475
2012,113,CT,CT3,D,0,D+11,0.445
2012,113,CT,CT4,D,0,D+5,0.475
2012,113,CT,CT5,D,0,D+3,0.485
2012,113,DE,DEAL,D,0,D+8,0.46
2012,113,FL,FL1,R,1,R+21,0.605
2012,113,FL,FL2,R,1,R+6,0.53
2012,113,FL,FL3,R,1,R+14,0.57
2012,113,FL,FL4,R,1,R+19,0.595
2012,113,FL,FL5,D,0,D+21,0.395
2012,113,FL,FL6,R,1,R+9,0.545
2012,113,FL,FL7,R,1,R+4,0.52
2012,113,FL,FL8,R,1,R+9,0.545
2012,113,FL,FL9,D,0,D+8,0.46
2012,113,FL,FL10,R,1,R+6,0.53
2012,113,FL,FL11,R,1,R+11,0.555
2012,113,FL,FL12,R,1,R+7,0.535
2012,113,FL,FL13,R,1,R+1,0.505
2012,113,FL,FL14,D,0,D+13,0.435
2012,113,FL,FL15,R,1,R+6,0.53
2012,113,FL,FL16,R,1,R+6,0.53
2012,113,FL,FL17,R,1,R+10,0.55
2012,113,FL,FL18,D,0,R+3,0.515
2012,113,FL,FL19,R,1,R+12,0.56
2012,113,FL,FL20,D,0,D+29,0.355
2012,113,FL,FL21,D,0,D+10,0.45
2012,113,FL,FL22,D,0,D+3,0.485
2012,113,FL,FL23,D,0,D+9,0.455
2012,113,FL,FL24,D,0,D+34,0.33
2012,113,FL,FL25,R,1,R+5,0.525
2012,113,FL,FL26,D,0,R+1,0.505
2012,113,FL,FL27,R,1,R+2,0.51
2012,113,GA,GA1,R,1,R+9,0.545
2012,113,GA,GA2,D,0,D+6,0.47
2012,113,GA,GA3,R,1,R+19,0.595
2012,113,GA,GA4,D,0,D+21,0.395
2012,113,GA,GA5,D,0,D+32,0.34
2012,113,GA,GA6,R,1,R+14,0.57
2012,113,GA,GA7,R,1,R+14,0.57
2012,113,GA,GA8,R,1,R+15,0.575
2012,113,GA,GA9,R,1,R+30,0.65
2012,113,GA,GA10,R,1,R+14,0.57
2012,113,GA,GA11,R,1,R+19,0.595
2012,113,GA,GA12,D,0,R+9,0.545
2012,113,GA,GA13,D,0,D+16,0.42
2012,113,GA,GA14,R,1,R+26,0.63
2012,113,HI,HI1,D,0,D+18,0.41
2012,113,HI,HI2,D,0,D+21,0.395
2012,113,ID,ID1,R,1,R+18,0.59
2012,113,ID,ID2,R,1,R+17,0.585
2012,113,IL,IL1,D,0,D+28,0.36
2012,113,IL,IL2,D,0,D+29,0.355
2012,113,IL,IL3,D,0,D+5,0.475
2012,113,IL,IL4,D,0,D+29,0.355
2012,113,IL,IL5,D,0,D+16,0.42
2012,113,IL,IL6,R,1,R+4,0.52
2012,113,IL,IL7,D,0,D+36,0.32
2012,113,IL,IL8,D,0,D+8,0.46
2012,113,IL,IL9,D,0,D+15,0.425
2012,113,IL,IL10,D,0,D+8,0.46
2012,113,IL,IL11,D,0,D+8,0.46
2012,113,IL,IL12,D,0,R+0,0.5
2012,113,IL,IL13,R,1,R+0,0.5
2012,113,IL,IL14,R,1,R+5,0.525
2012,113,IL,IL15,R,1,R+14,0.57
2012,113,IL,IL16,R,1,R+4,0.52
2012,113,IL,IL17,D,0,D+7,0.465
2012,113,IL,IL18,R,1,R+11,0.555
2012,113,IN,IN1,D,0,D+10,0.45
2012,113,IN,IN2,R,1,R+6,0.53
2012,113,IN,IN3,R,1,R+13,0.565
2012,113,IN,IN4,R,1,R+11,0.555
2012,113,IN,IN5,R,1,R+9,0.545
2012,113,IN,IN6,R,1,R+12,0.56
2012,113,IN,IN7,D,0,D+13,0.435
2012,113,IN,IN8,R,1,R+8,0.54
2012,113,IN,IN9,R,1,R+9,0.545
2012,113,IA,IA1,D,0,D+5,0.475
2012,113,IA,IA2,D,0,D+4,0.48
2012,113,IA,IA3,R,1,R+0,0.5
2012,113,IA,IA4,R,1,R+5,0.525
2012,113,KS,KS1,R,1,R+23,0.615
2012,113,KS,KS2,R,1,R+8,0.54
2012,113,KS,KS3,R,1,R+6,0.53
2012,113,KS,KS4,R,1,R+14,0.57
2012,113,KY,KY1,R,1,R+18,0.59
2012,113,KY,KY2,R,1,R+16,0.58
2012,113,KY,KY3,D,0,D+4,0.48
2012,113,KY,KY4,R,1,R+16,0.58
2012,113,KY,KY5,R,1,R+25,0.625
2012,113,KY,KY6,R,1,R+9,0.545
2012,113,LA,LA1,R,1,R+26,0.63
2012,113,LA,LA2,D,0,D+23,0.385
2012,113,LA,LA3,R,1,R+19,0.595
2012,113,LA,LA4,R,1,R+13,0.565
2012,113,LA,LA5,R,1,R+15,0.575
2012,113,LA,LA6,R,1,R+21,0.605
2012,113,ME,ME1,D,0,D+9,0.455
2012,113,ME,ME2,D,0,D+2,0.49
2012,113,MD,MD1,R,1,R+14,0.57
2012,113,MD,MD2,D,0,D+10,0.45
2012,113,MD,MD3,D,0,D+9,0.455
2012,113,MD,MD4,D,0,D+26,0.37
2012,113,MD,MD5,D,0,D+14,0.43
2012,113,MD,MD6,D,0,D+4,0.48
2012,113,MD,MD7,D,0,D+24,0.38
2012,113,MD,MD8,D,0,D+11,0.445
2012,113,MA,MA1,D,0,D+13,0.435
2012,113,MA,MA2,D,0,D+8,0.46
2012,113,MA,MA3,D,0,D+6,0.47
2012,113,MA,MA4,D,0,D+6,0.47
2012,113,MA,MA5,D,0,D+14,0.43
2012,113,MA,MA6,D,0,D+4,0.48
2012,113,MA,MA7,D,0,D+31,0.345
2012,113,MA,MA8,D,0,D+6,0.47
2012,113,MA,MA9,D,0,D+5,0.475
2012,113,MI,MI1,R,1,R+5,0.525
2012,113,MI,MI2,R,1,R+7,0.535
2012,113,MI,MI3,R,1,R+4,0.52
2012,113,MI,MI4,R,1,R+5,0.525
2012,113,MI,MI5,D,0,D+10,0.45
2012,113,MI,MI6,R,1,R+1,0.505
2012,113,MI,MI7,R,1,R+3,0.515
2012,113,MI,MI8,R,1,R+2,0.51
2012,113,MI,MI9,D,0,D+6,0.47
2012,113,MI,MI10,R,1,R+6,0.53
2012,113,MI,MI11,R,1,R+4,0.52
2012,113,MI,MI12,D,0,D+15,0.425
2012,113,MI,MI13,D,0,D+34,0.33
2012,113,MI,MI14,D,0,D+29,0.355
2012,113,MN,MN1,D,0,R+1,0.505
2012,113,MN,MN2,R,1,R+2,0.51
2012,113,MN,MN3,R,1,R+2,0.51
2012,113,MN,MN4,D,0,D+11,0.445
2012,113,MN,MN5,D,0,D+22,0.39
2012,113,MN,MN6,R,1,R+10,0.55
2012,113,MN,MN7,D,0,R+6,0.53
2012,113,MN,MN8,D,0,D+1,0.495
2012,113,MS,MS1,R,1,R+16,0.58
2012,113,MS,MS2,D,0,D+13,0.435
2012,113,MS,MS3,R,1,R+14,0.57
2012,113,MS,MS4,R,1,R+21,0.605
2012,113,MO,MO1,D,0,D+28,0.36
2012,113,MO,MO2,R,1,R+8,0.54
2012,113,MO,MO3,R,1,R+13,0.565
2012,113,MO,MO4,R,1,R+13,0.565
2012,113,MO,MO5,D,0,D+9,0.455
2012,113,MO,MO6,R,1,R+12,0.56
2012,113,MO,MO7,R,1,R+19,0.595
2012,113,MO,MO8,R,1,R+17,0.585
2012,113,MT,MTAL,R,1,R+7,0.535
2012,113,NE,NE1,R,1,R+10,0.55
2012,113,NE,NE2,R,1,R+4,0.52
2012,113,NE,NE3,R,1,R+23,0.615
2012,113,NV,NV1,D,0,D+14,0.43
2012,113,NV,NV2,R,1,R+5,0.525
2012,113,NV,NV3,R,1,R+0,0.5
2012,113,NV,NV4,D,0,D+4,0.48
2012,113,NH,NH1,D,0,R+1,0.505
2012,113,NH,NH2,D,0,D+3,0.485
2012,113,NJ,NJ1,D,0,D+13,0.435
2012,113,NJ,NJ2,R,1,D+1,0.495
2012,113,NJ,NJ3,R,1,R+1,0.505
2012,113,NJ,NJ4,R,1,R+7,0.535
2012,113,NJ,NJ5,R,1,R+4,0.52
2012,113,NJ,NJ6,D,0,D+8,0.46
2012,113,NJ,NJ7,R,1,R+6,0.53
2012,113,NJ,NJ8,D,0,D+24,0.38
