year,congress,ST,ST#,PVI,metric
2022,118,MI,MI6,D+21,0.4
2022,118,MI,MI7,R+4,0.52
2022,118,MI,MI8,R+1,0.51
2022,118,MI,MI9,R+34,0.67
2022,118,MI,MI10,R+6,0.53
2022,118,MI,MI11,D+15,0.43
2022,118,MI,MI12,D+44,0.28
2022,118,MI,MI13,D+46,0.27
2022,118,MS,MS1,R+35,0.68
2022,118,MS,MS2,D+23,0.39
2022,118,MS,MS3,R+28,0.64
2022,118,MS,MS4,R+42,0.71
2022,118,MT,MT1,R+1,0.55
2022,118,MT,MT2,R+3,0.65
2022,118,NE,NE1,R+17,0.59
2022,118,NE,NE2,R+3,0.51
2022,118,NE,NE3,R+57,0.78
2022,118,NJ,NJ1,D+2,0.4
2022,118,NJ,NJ2,R+9,0.55
2022,118,NJ,NJ3,D+9,0.46
2022,118,NJ,NJ4,R+28,0.64
2022,118,NJ,NJ5,D+7,0.47
2022,118,NJ,NJ6,D+15,0.42
2022,118,NJ,NJ7,R+3,0.52
2022,118,NJ,NJ8,D+47,0.27
2022,118,NJ,NJ9,D+17,0.42
2022,118,NJ,NJ10,D+58,0.21
2022,118,NJ,NJ11,D+11,0.45
2022,118,NJ,NJ12,D+3,0.35
2022,118,NM,NM1,D+11,0.44
2022,118,NM,NM2,D+4,0.48
2022,118,NM,NM3,D+5,0.48
2022,118,NV,NV1,D+4,0.48
2022,118,NV,NV2,R+13,0.57
2022,118,NV,NV3,D+2,0.49
2022,118,NV,NV4,D+5,0.47
2022,118,NY,NY1,D+6,0.47
2022,118,NY,NY2,R+2,0.6
2022,118,NY,NY3,D+1,0.45
2022,118,NY,NY4,D+8,0.46
2022,118,NY,NY5,D+64,0.18
2022,118,NY,NY6,D+24,0.38
2022,118,NY,NY7,D+65,0.18
2022,118,NY,NY8,D+55,0.23
2022,118,NY,NY9,D+55,0.23
2022,118,NY,NY10,D+52,0.24
2022,118,NY,NY11,D+7,0.47
2022,118,NY,NY12,D+67,0.17
2022,118,NY,NY13,D+77,0.12
2022,118,NY,NY14,D+5,0.25
2022,118,NY,NY15,D+72,0.14
2022,118,NY,NY16,D+36,0.32
2022,118,NY,NY17,D+1,0.45
2022,118,NY,NY18,D+3,0.49
2022,118,NY,NY19,D+4,0.48
2022,118,NY,NY20,D+12,0.44
2022,118,NY,NY21,R+23,0.61
2022,118,NY,NY22,D+13,0.44
2022,118,NY,NY23,R+26,0.63
2022,118,NY,NY24,R+25,0.62
2022,118,NY,NY25,D+15,0.42
2022,118,NY,NY26,D+2,0.4
2022,118,OK,OK1,R+28,0.64
2022,118,OK,OK2,R+55,0.77
2022,118,OK,OK3,R+47,0.73
2022,118,OK,OK4,R+35,0.68
2022,118,OK,OK5,R+24,0.62
2022,118,OR,OR1,D+34,0.33
2022,118,OR,OR2,R+28,0.64
2022,118,OR,OR3,D+43,0.29
2022,118,OR,OR4,D+9,0.46
2022,118,OR,OR5,D+3,0.48
2022,118,OR,OR6,D+7,0.47
2022,118,SC,SC1,R+17,0.59
2022,118,SC,SC2,R+2,0.6
2022,118,SC,SC3,R+44,0.72
2022,118,SC,SC4,R+27,0.63
2022,118,SC,SC5,R+26,0.63
2022,118,SC,SC6,D+25,0.38
2022,118,SC,SC7,R+26,0.63
2022,118,TN,TN1,R+6,0.8
2022,118,TN,TN2,R+36,0.68
2022,118,TN,TN3,R+38,0.69
2022,118,TN,TN4,R+46,0.73
2022,118,TN,TN5,R+15,0.58
2022,118,TN,TN6,R+35,0.68
2022,118,TN,TN7,R+21,0.6
2022,118,TN,TN8,R+43,0.72
2022,118,TN,TN9,D+43,0.29
2022,118,TX,TX1,R+5,0.75
2022,118,TX,TX2,R+3,0.65
2022,118,TX,TX3,R+23,0.61
2022,118,TX,TX4,R+31,0.65
2022,118,TX,TX5,R+27,0.63
2022,118,TX,TX6,R+24,0.62
2022,118,TX,TX7,D+24,0.38
2022,118,TX,TX8,R+26,0.63
2022,118,TX,TX9,D+5,0.25
2022,118,TX,TX10,R+24,0.62
2022,118,TX,TX11,R+41,0.7
2022,118,TX,TX12,R+24,0.62
2022,118,TX,TX13,R+45,0.73
2022,118,TX,TX14,R+35,0.68
2022,118,TX,TX15,D+,0.5
2022,118,TX,TX16,D+33,0.33
2022,118,TX,TX17,R+27,0.64
2022,118,TX,TX18,D+43,0.28
2022,118,TX,TX19,R+53,0.77
2022,118,TX,TX20,D+27,0.37
2022,118,TX,TX21,R+24,0.62
2022,118,TX,TX22,R+24,0.62
2022,118,TX,TX23,R+13,0.56
2022,118,TX,TX24,R+22,0.61
2022,118,TX,TX25,R+3,0.65
2022,118,TX,TX26,R+26,0.63
2022,118,TX,TX27,R+28,0.64
2022,118,TX,TX28,D+7,0.47
2022,118,TX,TX29,D+35,0.32
2022,118,TX,TX30,D+51,0.25
2022,118,TX,TX31,R+27,0.64
2022,118,TX,TX32,D+25,0.38
2022,118,TX,TX33,D+44,0.28
2022,118,TX,TX34,D+17,0.41
2022,118,TX,TX35,D+38,0.31
2022,118,TX,TX36,R+35,0.67
2022,118,TX,TX37,D+44,0.28
2022,118,TX,TX38,R+27,0.63
2022,118,UT,UT1,R+25,0.62
2022,118,UT,UT2,R+23,0.62
2022,118,UT,UT3,R+26,0.63
2022,118,UT,UT4,R+31,0.65
2022,118,VA,VA1,R+14,0.57
2022,118,VA,VA2,R+6,0.53
2022,118,VA,VA3,D+32,0.34
2022,118,VA,VA4,D+3,0.35
2022,118,VA,VA5,R+14,0.57
2022,118,VA,VA6,R+28,0.64
2022,118,VA,VA7,D+2,0.49
2022,118,VA,VA8,D+5,0.25
2022,118,VA,VA9,R+46,0.73
2022,118,VA,VA10,D+8,0.46
2022,118,VA,VA11,D+33,0.33
2022,118,WV,WV1,R+35,0.67
2022,118,WV,WV2,R+34,0.67
