year,congress,ST,ST#,PVI,metric
2022.0,118.0,IN,IN2,R+13,0.63
2022.0,118.0,IN,IN1,D+3,0.47
2022.0,118.0,IN,IN6,R+18,0.68
2022.0,118.0,KS,KS4,R+14,0.64
2022.0,118.0,KS,KS2,R+10,0.6
2022.0,118.0,KS,KS3,R+2,0.52
2022.0,118.0,KS,KS1,R+17,0.67
2022.0,118.0,KY,KY1,R+22,0.72
2022.0,118.0,KY,KY6,R+7,0.57
2022.0,118.0,KY,KY3,D+10,0.4
2022.0,118.0,KY,KY4,R+17,0.67
2022.0,118.0,KY,KY5,R+30,0.8
2022.0,118.0,KY,KY2,R+19,0.69
2022.0,118.0,MA,MA8,D+17,0.33
2022.0,118.0,MA,MA6,D+13,0.37
2022.0,118.0,MA,MA9,D+8,0.42
2022.0,118.0,MA,MA4,D+14,0.36
2022.0,118.0,MA,MA3,D+13,0.37
2022.0,118.0,MA,MA2,D+15,0.35
2022.0,118.0,MA,MA1,D+11,0.39
2022.0,118.0,MA,MA5,D+25,0.25
2022.0,118.0,MA,MA7,D+37,0.13
2022.0,118.0,MD,MD1,R+4,0.54
2022.0,118.0,MD,MD2,D+5,0.45
2022.0,118.0,MD,MD3,D+8,0.42
2022.0,118.0,MD,MD4,D+31,0.19
2022.0,118.0,MD,MD5,D+20,0.3
2022.0,118.0,MD,MD6,D+6,0.44
2022.0,118.0,MD,MD7,D+24,0.26
2022.0,118.0,MD,MD8,D+12,0.38
2022.0,118.0,ME,ME1,D+8,0.42
2022.0,118.0,ME,ME2,R+5,0.55
2022.0,118.0,MI,MI1,R+12,0.62
2022.0,118.0,MI,MI13,D+23,0.27
2022.0,118.0,MI,MI12,D+22,0.28
2022.0,118.0,MI,MI11,D+7,0.43
2022.0,118.0,MI,MI10,R+3,0.53
2022.0,118.0,MI,MI9,R+17,0.67
2022.0,118.0,MI,MI2,R+16,0.66
2022.0,118.0,MI,MI7,R+2,0.52
2022.0,118.0,MI,MI6,D+10,0.4
2022.0,118.0,MI,MI5,R+14,0.64
2022.0,118.0,MI,MI4,R+4,0.54
2022.0,118.0,MI,MI3,D+1,0.49
2022.0,118.0,MI,MI8,R+1,0.51
2022.0,118.0,MN,MN8,R+8,0.58
2022.0,118.0,MN,MN7,R+18,0.68
2022.0,118.0,MN,MN6,R+12,0.62
