ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",653822,0,0.4248,0.5752,0,495560,0.8108,0.1892,0.0897,0.0403,0.0366,0.0213,0.0018,
"2",653847,0,0.5131,0.4869,0,484492,0.7191,0.2809,0.1059,0.105,0.0494,0.0229,0.0019,
"3",653835,0,0.2269,0.7731,0,496075,0.8447,0.1553,0.0999,0.0157,0.0106,0.0282,0.0016,
"Summary",653835,0,0.385,0.615,0,492042,0.7921,0.2079,0.0984,0.0533,0.0321,0.0242,0.0018,
