ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",797584,0,0.4845,0.5155,0,618402,0.8582,0.1418,0.0468,0.0473,0.027,0.0159,0.0013,
"2",797589,0,0.4766,0.5234,0,617226,0.8838,0.1162,0.0302,0.0477,0.0182,0.0146,0.0031,
"3",797551,-0.0001,0.4916,0.5084,0,600958,0.8209,0.1791,0.066,0.0515,0.0416,0.0158,0.0019,
"4",797645,0.0001,0.3618,0.6382,0,613517,0.8545,0.1455,0.0764,0.0236,0.0245,0.0169,0.0045,
"Summary",797592,0.0001,0.4541,0.5459,0,612526,0.8546,0.1454,0.0547,0.0425,0.0277,0.0158,0.0027,
