ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",734470,0,0.3347,0.6653,0,565616,0.7768,0.2232,0.1305,0.0367,0.0249,0.0322,0.0021,
"2",734470,0,0.4084,0.5916,0,554813,0.733,0.267,0.1064,0.0985,0.0223,0.0414,0.003,
"3",734470,0,0.4999,0.5001,0,556362,0.7787,0.2213,0.0851,0.0539,0.054,0.025,0.0015,
"4",734470,0,0.3729,0.6271,0,552525,0.7326,0.2674,0.1111,0.0774,0.0406,0.0413,0.0023,
"Summary",734470,0,0.4088,0.5912,0,557329,0.7554,0.2446,0.1084,0.0665,0.0354,0.0349,0.0022,
