ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",775836,-0.0004,0.5478,0.4522,0,599975,0.4392,0.5608,0.3218,0.1174,0.104,0.0297,0.0143,
"2",776235,0.0001,0.4363,0.5637,0,611030,0.6677,0.3323,0.1978,0.0281,0.0596,0.0451,0.009,
"3",776062,-0.0001,0.5347,0.4653,0,615841,0.4715,0.5285,0.1883,0.1127,0.2084,0.0228,0.0195,
"4",776481,0.0004,0.5482,0.4518,0,586480,0.4156,0.5844,0.3061,0.1804,0.0787,0.0318,0.015,
"Summary",776152,0.0008,0.5125,0.4875,0,603332,0.4996,0.5004,0.2525,0.1089,0.1133,0.0324,0.0144,
