ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",548078,-0.0011,0.6404,0.3596,0,440812,0.6786,0.3214,0.1595,0.1018,0.0452,0.0182,0.0022,
"2",549301,0.0011,0.5559,0.4441,0,446782,0.7684,0.2316,0.1246,0.0571,0.0381,0.0193,0.0016,
"Summary",548690,0.0022,0.5955,0.4045,0,443797,0.7238,0.2762,0.1419,0.0793,0.0416,0.0188,0.0019,
