ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",688764,0,0.5119,0.4881,0,560816,0.8904,0.1096,0.0352,0.0206,0.0296,0.0162,0.0011,
"2",688765,0,0.5299,0.4701,0,559864,0.8867,0.1133,0.0358,0.0183,0.0307,0.0182,0.0011,
"Summary",688765,0,0.5209,0.4791,0,560340,0.8885,0.1115,0.0355,0.0194,0.0302,0.0172,0.0011,
