ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",721189,0,0.6328,0.3672,0,575609,0.6089,0.3911,0.155,0.1692,0.0624,0.0151,0.0015,
"2",721188,0,0.5397,0.4603,0,585785,0.8057,0.1943,0.0774,0.0515,0.0438,0.0206,0.0019,
"3",721189,0,0.5869,0.4131,0,583771,0.6469,0.3531,0.1431,0.1494,0.0532,0.0147,0.0014,
"4",721189,0,0.6439,0.3561,0,555195,0.5953,0.4047,0.1986,0.134,0.0615,0.0123,0.0013,
"5",721189,0,0.5394,0.4606,0,568867,0.6736,0.3264,0.1799,0.0879,0.0421,0.015,0.0015,
"Summary",721189,0,0.5877,0.4123,0,573845,0.667,0.333,0.1501,0.1182,0.0525,0.0156,0.0015,
