year,ST,PVI,metric
2020,AL,R+15,0.65
2020,AK,R+9,0.59
2020,AZ,R+3,0.53
2020,AR,R+16,0.66
2020,CA,D+14,0.36
2020,CO,D+3,0.47
2020,CT,D+7,0.43
2020,DE,D+6,0.44
2020,FL,R+3,0.53
2020,GA,R+3,0.53
2020,HI,D+15,0.35
2020,ID,R+19,0.69
2020,IL,D+7,0.43
2020,IN,R+11,0.61
2020,IA,R+6,0.56
2020,KS,R+11,0.61
2020,KY,R+16,0.66
2020,LA,R+12,0.62
2020,ME,D+1,0.49
2020,MD,D+14,0.36
2020,MA,D+14,0.36
2020,MI,R+1,0.51
2020,MN,D+1,0.49
2020,MS,R+10,0.6
2020,MO,R+11,0.61
2020,MT,R+11,0.61
2020,NE,R+13,0.63
2020,NV,R+0,0.5
2020,NH,R+0,0.5
2020,NJ,D+6,0.44
2020,NM,D+3,0.47
2020,NY,D+10,0.4
2020,NC,R+3,0.53
2020,ND,R+20,0.7
2020,OH,R+6,0.56
2020,OK,R+20,0.7
2020,OR,D+6,0.44
2020,PA,R+2,0.52
2020,RI,D+8,0.42
2020,SC,R+8,0.58
2020,SD,R+16,0.66
2020,TN,R+14,0.64
2020,TX,R+5,0.55
2020,UT,R+13,0.63
2020,VT,D+15,0.35
2020,VA,D+2,0.48
2020,WA,D+8,0.42
2020,WV,R+23,0.73
2020,WI,R+2,0.52
2020,WY,R+26,0.76
