year,ST,PVI,metric
2004,AL,R+8,0.58
2004,AK,R+14,0.64
2004,AZ,R+1,0.51
2004,AR,R+3,0.53
2004,CA,D+6,0.44
2004,CO,R+1,0.51
2004,CT,D+9,0.41
2004,DE,D+7,0.43
2004,FL,D+1,0.49
2004,GA,R+6,0.56
2004,HI,D+9,0.41
2004,ID,R+19,0.69
2004,IL,D+9,0.41
2004,IN,R+7,0.57
2004,IA,D+1,0.49
2004,KS,R+11,0.61
2004,KY,R+8,0.58
2004,LA,R+4,0.54
2004,ME,D+5,0.45
2004,MD,D+10,0.4
2004,MA,D+15,0.35
2004,MI,D+4,0.46
2004,MN,D+3,0.47
2004,MS,R+7,0.57
2004,MO,R+1,0.51
2004,MT,R+11,0.61
2004,NE,R+15,0.65
2004,NV,D+1,0.49
2004,NH,D+2,0.48
2004,NJ,D+9,0.41
2004,NM,D+1,0.49
2004,NY,D+15,0.35
2004,NC,R+5,0.55
2004,ND,R+13,0.63
2004,OH,R+0,0.5
2004,OK,R+12,0.62
2004,OR,D+3,0.47
2004,PA,D+3,0.47
2004,RI,D+15,0.35
2004,SC,R+7,0.57
2004,SD,R+10,0.6
2004,TN,R+3,0.53
2004,TX,R+8,0.58
2004,UT,R+22,0.72
2004,VT,D+8,0.42
2004,VA,R+3,0.53
2004,WA,D+4,0.46
2004,WV,R+4,0.54
2004,WI,D+2,0.48
2004,WY,R+19,0.69
