year,ST,PVI,metric
2014,AL,R+14,0.57
2014,AK,R+12,0.56
2014,AZ,R+7,0.535
2014,AR,R+14,0.57
2014,CA,D+9,0.455
2014,CO,D+1,0.495
2014,CT,D+7,0.465
2014,DE,D+8,0.46
2014,FL,R+2,0.51
2014,GA,R+6,0.53
2014,HI,D+20,0.4
2014,ID,R+18,0.59
2014,IL,D+8,0.46
2014,IN,R+5,0.525
2014,IA,D+1,0.495
2014,KS,R+12,0.56
2014,KY,R+13,0.565
2014,LA,R+12,0.56
2014,ME,D+6,0.47
2014,MD,D+10,0.45
2014,MA,D+10,0.45
2014,MI,D+4,0.48
2014,MN,D+2,0.49
2014,MS,R+9,0.545
2014,MO,R+5,0.525
2014,MT,R+7,0.535
2014,NE,R+12,0.56
2014,NV,D+2,0.49
2014,NH,D+1,0.495
2014,NJ,D+6,0.47
2014,NM,D+4,0.48
2014,NY,D+11,0.445
2014,NC,R+3,0.515
2014,ND,R+10,0.55
2014,OH,R+1,0.505
2014,OK,R+19,0.595
2014,OR,D+5,0.475
2014,PA,D+1,0.495
2014,RI,D+11,0.445
2014,SC,R+8,0.54
2014,SD,R+10,0.55
2014,TN,R+12,0.56
2014,TX,R+10,0.55
2014,UT,R+22,0.61
2014,VT,D+16,0.42
2014,VA,R+0,0.5
2014,WA,D+5,0.475
2014,WV,R+13,0.565
2014,WI,D+2,0.49
2014,WY,R+22,0.61
