year,ST,PVI,metric
2012,AL,R+14,0.64
2012,AK,R+12,0.62
2012,AZ,R+7,0.57
2012,AR,R+14,0.64
2012,CA,D+9,0.41
2012,CO,D+1,0.49
2012,CT,D+7,0.43
2012,DE,D+8,0.42
2012,FL,R+2,0.52
2012,GA,R+6,0.56
2012,HI,D+20,0.3
2012,ID,R+18,0.68
2012,IL,D+8,0.42
2012,IN,R+5,0.55
2012,IA,D+1,0.49
2012,KS,R+12,0.62
2012,KY,R+13,0.63
2012,LA,R+12,0.62
2012,ME,D+6,0.44
2012,MD,D+10,0.4
2012,MA,D+10,0.4
2012,MI,D+4,0.46
2012,MN,D+2,0.48
2012,MS,R+9,0.59
2012,MO,R+5,0.55
2012,MT,R+7,0.57
2012,NE,R+12,0.62
2012,NV,D+2,0.48
2012,NH,D+1,0.49
2012,NJ,D+6,0.44
2012,NM,D+4,0.46
2012,NY,D+11,0.39
2012,NC,R+3,0.53
2012,ND,R+10,0.6
2012,OH,R+1,0.51
2012,OK,R+19,0.69
2012,OR,D+5,0.45
2012,PA,D+1,0.49
2012,RI,D+11,0.39
2012,SC,R+8,0.58
2012,SD,R+10,0.6
2012,TN,R+12,0.62
2012,TX,R+10,0.6
2012,UT,R+22,0.72
2012,VT,D+16,0.34
2012,VA,R+0,0.5
2012,WA,D+5,0.45
2012,WV,R+13,0.63
2012,WI,D+2,0.48
2012,WY,R+22,0.72
