year,ST,PVI,metric
2010,AL,R+13,0.63
2010,AK,R+13,0.63
2010,AZ,R+6,0.56
2010,AR,R+9,0.59
2010,CA,D+7,0.43
2010,CO,R+0,0.5
2010,CT,D+7,0.43
2010,DE,D+7,0.43
2010,FL,R+2,0.52
2010,GA,R+7,0.57
2010,HI,D+12,0.38
2010,ID,R+17,0.67
2010,IL,D+8,0.42
2010,IN,R+6,0.56
2010,IA,D+1,0.49
2010,KS,R+12,0.62
2010,KY,R+10,0.6
2010,LA,R+10,0.6
2010,ME,D+5,0.45
2010,MD,D+9,0.41
2010,MA,D+12,0.38
2010,MI,D+4,0.46
2010,MN,D+2,0.48
2010,MS,R+10,0.6
2010,MO,R+3,0.53
2010,MT,R+7,0.57
2010,NE,R+13,0.63
2010,NV,D+1,0.49
2010,NH,D+2,0.48
2010,NJ,D+4,0.46
2010,NM,D+2,0.48
2010,NY,D+10,0.4
2010,NC,R+4,0.54
2010,ND,R+10,0.6
2010,OH,R+1,0.51
2010,OK,R+17,0.67
2010,OR,D+4,0.46
2010,PA,D+2,0.48
2010,RI,D+11,0.39
2010,SC,R+8,0.58
2010,SD,R+9,0.59
2010,TN,R+9,0.59
2010,TX,R+10,0.6
2010,UT,R+20,0.7
2010,VT,D+13,0.37
2010,VA,R+2,0.52
2010,WA,D+5,0.45
2010,WV,R+8,0.58
2010,WI,D+2,0.48
2010,WY,R+20,0.7
