year,ST,PVI,metric
2018,AL,R+14,0.64
2018,AK,R+9,0.59
2018,AZ,R+5,0.55
2018,AR,R+15,0.65
2018,CA,D+12,0.38
2018,CO,D+1,0.49
2018,CT,D+6,0.44
2018,DE,D+6,0.44
2018,FL,R+2,0.52
2018,GA,R+5,0.55
2018,HI,D+18,0.32
2018,ID,R+19,0.69
2018,IL,D+7,0.43
2018,IN,R+9,0.59
2018,IA,R+3,0.53
2018,KS,R+13,0.63
2018,KY,R+15,0.65
2018,LA,R+11,0.61
2018,ME,D+3,0.47
2018,MD,D+12,0.38
2018,MA,D+12,0.38
2018,MI,D+1,0.49
2018,MN,D+1,0.49
2018,MS,R+9,0.59
2018,MO,R+9,0.59
2018,MT,R+11,0.61
2018,NE,R+14,0.64
2018,NV,D+1,0.49
2018,NH,D+1,0.49
2018,NJ,D+7,0.43
2018,NM,D+3,0.47
2018,NY,D+12,0.38
2018,NC,R+3,0.53
2018,ND,R+17,0.67
2018,OH,R+3,0.53
2018,OK,R+20,0.7
2018,OR,D+5,0.45
2018,PA,R+0,0.5
2018,RI,D+10,0.4
2018,SC,R+8,0.58
2018,SD,R+14,0.64
2018,TN,R+14,0.64
2018,TX,R+8,0.58
2018,UT,R+20,0.7
2018,VT,D+15,0.35
2018,VA,D+1,0.49
2018,WA,D+7,0.43
2018,WV,R+19,0.69
2018,WI,R+0,0.5
2018,WY,R+25,0.75
