year,ST,PVI,metric
2008,AL,R+14,0.64
2008,AK,R+13,0.63
2008,AZ,R+4,0.54
2008,AR,R+9,0.59
2008,CA,D+8,0.42
2008,CO,R+0,0.5
2008,CT,D+7,0.43
2008,DE,D+7,0.43
2008,FL,R+0,0.5
2008,GA,R+6,0.56
2008,HI,D+13,0.37
2008,ID,R+18,0.68
2008,IL,D+9,0.41
2008,IN,R+5,0.55
2008,IA,D+1,0.49
2008,KS,R+12,0.62
2008,KY,R+11,0.61
2008,LA,R+9,0.59
2008,ME,D+6,0.44
2008,MD,D+9,0.41
2008,MA,D+12,0.38
2008,MI,D+5,0.45
2008,MN,D+3,0.47
2008,MS,R+9,0.59
2008,MO,R+3,0.53
2008,MT,R+7,0.57
2008,NE,R+14,0.64
2008,NV,D+2,0.48
2008,NH,D+1,0.49
2008,NJ,D+7,0.43
2008,NM,D+2,0.48
2008,NY,D+12,0.38
2008,NC,R+4,0.54
2008,ND,R+10,0.6
2008,OH,R+0,0.5
2008,OK,R+17,0.67
2008,OR,D+4,0.46
2008,PA,D+2,0.48
2008,RI,D+11,0.39
2008,SC,R+8,0.58
2008,SD,R+9,0.59
2008,TN,R+8,0.58
2008,TX,R+8,0.58
2008,UT,R+21,0.71
2008,VT,D+13,0.37
2008,VA,R+2,0.52
2008,WA,D+4,0.46
2008,WV,R+8,0.58
2008,WI,D+3,0.47
2008,WY,R+20,0.7
